Source,Target,Type,Id,Label,Weight
132,25,Directed,99,,7
158,103,Directed,100,,7
158,114,Directed,101,,7
158,132,Directed,102,,7
158,161,Directed,103,,7
158,162,Directed,104,,7
158,170,Directed,105,,7
160,132,Directed,106,,7
160,161,Directed,107,,7
160,162,Directed,108,,7
160,163,Directed,109,,7
160,164,Directed,110,,7
160,165,Directed,111,,7
160,166,Directed,112,,7
160,167,Directed,113,,7
160,168,Directed,114,,7
160,169,Directed,115,,7
160,170,Directed,116,,7
171,23,Directed,117,,6
171,145,Directed,118,,6
171,159,Directed,119,,6
171,162,Directed,120,,6
171,164,Directed,121,,6
171,166,Directed,122,,6
171,167,Directed,123,,6
164,158,Directed,124,,6
164,171,Directed,125,,6
164,165,Directed,126,,6
164,166,Directed,127,,6
164,169,Directed,128,,6
150,14,Directed,129,,6
150,21,Directed,130,,6
150,145,Directed,131,,6
150,159,Directed,132,,6
150,160,Directed,133,,6
150,161,Directed,134,,6
150,164,Directed,135,,6
150,167,Directed,136,,6
150,169,Directed,137,,6
150,170,Directed,138,,6
158,23,Directed,139,,6
158,73,Directed,140,,6
158,76,Directed,141,,6
158,95,Directed,142,,6
158,110,Directed,143,,6
158,123,Directed,144,,6
158,125,Directed,145,,6
158,166,Directed,146,,6
171,13,Directed,147,,5
171,147,Directed,148,,5
171,161,Directed,149,,5
171,163,Directed,150,,5
171,165,Directed,151,,5
171,169,Directed,152,,5
171,170,Directed,153,,5
167,13,Directed,154,,5
167,14,Directed,155,,5
167,33,Directed,156,,5
167,40,Directed,157,,5
167,54,Directed,158,,5
167,77,Directed,159,,5
167,103,Directed,160,,5
167,114,Directed,161,,5
167,120,Directed,162,,5
167,154,Directed,163,,5
166,13,Directed,164,,5
166,21,Directed,165,,5
166,23,Directed,166,,5
166,33,Directed,167,,5
166,54,Directed,168,,5
166,61,Directed,169,,5
166,87,Directed,170,,5
166,96,Directed,171,,5
166,103,Directed,172,,5
166,125,Directed,173,,5
166,132,Directed,174,,5
166,145,Directed,175,,5
166,154,Directed,176,,5
166,158,Directed,177,,5
166,171,Directed,178,,5
166,159,Directed,179,,5
166,160,Directed,180,,5
166,161,Directed,181,,5
166,162,Directed,182,,5
166,163,Directed,183,,5
166,164,Directed,184,,5
166,165,Directed,185,,5
164,5,Directed,186,,5
164,6,Directed,187,,5
164,23,Directed,188,,5
164,54,Directed,189,,5
164,58,Directed,190,,5
164,145,Directed,191,,5
164,154,Directed,192,,5
169,18,Directed,193,,5
169,33,Directed,194,,5
169,40,Directed,195,,5
169,54,Directed,196,,5
169,87,Directed,197,,5
169,103,Directed,198,,5
169,114,Directed,199,,5
169,120,Directed,200,,5
169,145,Directed,201,,5
169,154,Directed,202,,5
150,13,Directed,203,,5
150,141,Directed,204,,5
150,151,Directed,205,,5
150,162,Directed,206,,5
150,165,Directed,207,,5
132,1,Directed,208,,5
132,23,Directed,209,,5
132,47,Directed,210,,5
132,116,Directed,211,,5
132,145,Directed,212,,5
132,147,Directed,213,,5
132,151,Directed,214,,5
132,154,Directed,215,,5
158,1,Directed,216,,5
158,7,Directed,217,,5
158,13,Directed,218,,5
158,18,Directed,219,,5
158,21,Directed,220,,5
158,25,Directed,221,,5
158,37,Directed,222,,5
158,40,Directed,223,,5
158,46,Directed,224,,5
158,47,Directed,225,,5
158,54,Directed,226,,5
158,69,Directed,227,,5
158,90,Directed,228,,5
158,91,Directed,229,,5
158,96,Directed,230,,5
158,133,Directed,231,,5
158,135,Directed,232,,5
158,147,Directed,233,,5
158,151,Directed,234,,5
158,152,Directed,235,,5
158,163,Directed,236,,5
158,167,Directed,237,,5
158,169,Directed,238,,5
159,141,Directed,239,,5
159,145,Directed,240,,5
159,171,Directed,241,,5
159,161,Directed,242,,5
159,162,Directed,243,,5
159,163,Directed,244,,5
159,164,Directed,245,,5
159,166,Directed,246,,5
159,167,Directed,247,,5
159,170,Directed,248,,5
170,132,Directed,249,,5
170,150,Directed,250,,5
170,158,Directed,251,,5
170,171,Directed,252,,5
170,160,Directed,253,,5
170,161,Directed,254,,5
170,162,Directed,255,,5
170,163,Directed,256,,5
170,164,Directed,257,,5
170,165,Directed,258,,5
160,110,Directed,259,,5
160,135,Directed,260,,5
160,141,Directed,261,,5
160,145,Directed,262,,5
162,14,Directed,263,,5
162,18,Directed,264,,5
162,23,Directed,265,,5
162,25,Directed,266,,5
162,154,Directed,267,,5
162,159,Directed,268,,5
162,160,Directed,269,,5
162,165,Directed,270,,5
162,168,Directed,271,,5
161,1,Directed,272,,5
161,18,Directed,273,,5
161,23,Directed,274,,5
161,25,Directed,275,,5
161,91,Directed,276,,5
161,103,Directed,277,,5
161,112,Directed,278,,5
161,151,Directed,279,,5
161,171,Directed,280,,5
161,159,Directed,281,,5
161,160,Directed,282,,5
161,165,Directed,283,,5
161,166,Directed,284,,5
161,167,Directed,285,,5
161,168,Directed,286,,5
161,169,Directed,287,,5
161,170,Directed,288,,5
171,168,Directed,289,,4
164,159,Directed,290,,4
164,160,Directed,291,,4
164,170,Directed,292,,4
150,37,Directed,293,,4
150,49,Directed,294,,4
150,54,Directed,295,,4
150,55,Directed,296,,4
150,60,Directed,297,,4
150,61,Directed,298,,4
150,65,Directed,299,,4
150,83,Directed,300,,4
150,91,Directed,301,,4
150,92,Directed,302,,4
150,112,Directed,303,,4
150,114,Directed,304,,4
150,116,Directed,305,,4
150,123,Directed,306,,4
150,133,Directed,307,,4
150,152,Directed,308,,4
150,154,Directed,309,,4
132,4,Directed,310,,4
132,7,Directed,311,,4
132,14,Directed,312,,4
132,43,Directed,313,,4
132,77,Directed,314,,4
132,91,Directed,315,,4
132,95,Directed,316,,4
132,98,Directed,317,,4
